titre,artiste,popularite,date_sortie,genre,sous_genre,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duree_ms
Smile Again,Green Assassin Dollar,50,2019-11-29,rap,hip hop,0.753,0.443,-9.697,0.448,0.948,0.67,0.313,0.73,83.047,57831
Cheeky Steve,Mr Mantega,51,2019-10-25,rap,hip hop,0.793,0.653,-8.52,0.191,0.396,0.851,0.0881,0.476,160.05,147164
By,HNNY,58,2019-09-13,rap,hip hop,0.679,0.427,-11.273,0.0753,0.621,0.564,0.102,0.301,168.103,166345
Soulstice,Freddie Joachim,52,2019-10-11,rap,hip hop,0.743,0.452,-5.638,0.131,0.487,0.872,0.111,0.395,80.049,192375
I need to paint my walls,A L E X,61,2018-12-12,rap,hip hop,0.779,0.288,-11.875,0.0551,0.816,0.903,0.108,0.164,134.992,163500
Air Conditioning,Guustavv,52,2019-09-13,rap,hip hop,0.638,0.231,-12.597,0.0624,0.984,0.935,0.0925,0.229,59.975,150000
Desolate Blur,Jobii,53,2019-07-12,rap,hip hop,0.267,0.321,-12.369,0.0269,0.883,0.94,0.0871,0.0394,77.204,183146
bouquet of balloons,biosphere,54,2018-06-03,rap,hip hop,0.729,0.337,-15.436,0.06,0.441,0.821,0.122,0.792,162.011,183704
Surf,Osoku,51,2019-09-13,rap,hip hop,0.732,0.321,-12.575,0.0768,0.934,0.876,0.111,0.347,144.018,147833
Nothing changes: everything is different,H.1,11,2019-01-01,rap,hip hop,0.573,0.177,-18.774,0.347,0.922,0.6,0.108,0.312,130.187,169796
faceless woman,less.people,52,2018-07-16,rap,hip hop,0.517,0.3,-13.716,0.0435,0.693,0.664,0.0664,0.174,122.996,196098
Fresh Air,goosetaf,51,2019-05-10,rap,hip hop,0.337,0.19,-17.009,0.161,0.929,0.852,0.193,0.0674,79.744,147000
Last Light in August,Chaxti,55,2019-10-11,rap,hip hop,0.365,0.457,-7.192,0.032,0.202,0.891,0.158,0.0845,121.994,208525
chilling by your bedside.,beeno,11,2019-12-31,rap,hip hop,0.588,0.166,-20.73,0.0408,0.887,0.925,0.111,0.475,57.497,166957
Laze,Flovry,55,2019-03-20,rap,hip hop,0.5,0.16,-14.655,0.0899,0.968,0.41,0.31,0.284,75.3,98000
colors,mr_slace,56,2019-09-12,rap,hip hop,0.525,0.176,-22.959,0.0935,0.921,0.755,0.0743,0.317,80.389,78565
spaced out,Cozy Collective,50,2019-02-25,rap,hip hop,0.546,0.191,-21.84,0.0373,0.916,0.922,0.091,0.131,138.143,83513
OPalite,"Sarah, the Illstrumentalist",49,2019-09-13,rap,hip hop,0.66,0.434,-9.572,0.0472,0.833,0.915,0.386,0.323,80.163,148000
free (at ease),fantompower,13,2019-02-20,rap,hip hop,0.533,0.246,-16.585,0.0466,0.907,0.894,0.112,0.0886,87.016,145402
Peninsula,Flughand,58,2017-09-08,rap,hip hop,0.496,0.101,-22.118,0.292,0.65,0.684,0.105,0.62,59.551,140140
Horologist,Osoku,50,2019-11-08,rap,hip hop,0.661,0.375,-10.463,0.249,0.923,0.00981,0.104,0.103,131.636,160568
Sleep Deep,Omaure,51,2019-05-02,rap,hip hop,0.533,0.37,-12.646,0.0583,0.8,0.945,0.103,0.326,204.637,98888
Depiction,Wenzel,57,2019-01-28,rap,hip hop,0.595,0.285,-14.36,0.0371,0.973,0.946,0.146,0.305,130.021,118154
Alignment,Guustavv,33,2019-11-22,rap,hip hop,0.211,0.262,-11.892,0.0356,0.932,0.972,0.207,0.112,78.263,149500
Pero Asi,Made in M,59,2017-07-31,rap,hip hop,0.812,0.225,-12.284,0.334,0.687,0.615,0.078,0.672,83.985,114458
warm,Ameba,50,2019-02-27,rap,hip hop,0.417,0.645,-10.228,0.138,0.931,0.766,0.103,0.202,76.815,74893
Spanish Galleon,Wun Two,11,2019-07-10,rap,hip hop,0.708,0.372,-12.721,0.114,0.903,0.974,0.115,0.517,71.789,54656
Waking Up to Sleep,Zeus the Elevated,11,2019-01-31,rap,hip hop,0.734,0.221,-16.403,0.318,0.69,0.918,0.11,0.21,125.785,66390
Opium,Syndrome,50,2018-08-10,rap,hip hop,0.72,0.169,-21.217,0.0569,0.854,0.941,0.118,0.577,119.956,91429
Princess,soder.,49,2018-11-21,rap,hip hop,0.729,0.266,-20.841,0.0995,0.947,0.955,0.131,0.34,144.948,118556
Morning Dew,fantompower,52,2019-03-20,rap,hip hop,0.462,0.287,-19.148,0.0858,0.939,0.905,0.0801,0.121,127.98,151500
Morio,Smoke Trees,49,2018-11-13,rap,hip hop,0.629,0.277,-14.958,0.0783,0.628,0.94,0.0851,0.0398,131.03,117868
Interstellar,Arbour,65,2019-01-14,rap,hip hop,0.621,0.157,-15.226,0.1,0.525,0.82,0.11,0.124,74.992,164800
Flunked This Semester,HM Surf,62,2018-04-03,rap,hip hop,0.557,0.246,-11.289,0.0368,0.486,0.904,0.111,0.27,174.063,99310
Fragile Stevie,Jobii,56,2019-04-26,rap,hip hop,0.662,0.28,-18.651,0.0726,0.696,0.881,0.0955,0.132,120.018,166500
NGC 6236,Toonorth,53,2018-07-27,rap,hip hop,0.484,0.254,-7.54,0.274,0.658,0.909,0.121,0.705,148.463,115200
Caffè,Tears,48,2019-03-08,rap,hip hop,0.602,0.228,-17.87,0.0982,0.677,0.918,0.331,0.568,73.975,103784
Evenings,Idealism,57,2018-01-28,rap,hip hop,0.644,0.179,-11.329,0.0462,0.731,0.912,0.0993,0.19,80.999,121482
Reach,chief.,52,2018-05-07,rap,hip hop,0.505,0.0671,-22.562,0.0705,0.938,0.913,0.131,0.258,72.796,129000
smize,Meiji,48,2019-02-22,rap,hip hop,0.635,0.304,-13.306,0.0405,0.961,0.893,0.103,0.0425,140.004,128957
Waiting for You,mell-ø,62,2019-02-01,rap,hip hop,0.74,0.133,-16.642,0.0633,0.828,0.957,0.131,0.113,73.982,94865
savacu,Wun Two,50,2016-07-17,rap,hip hop,0.636,0.148,-13.895,0.0815,0.247,0.748,0.111,0.565,80.96,94815
Mosaic - Skit,Psalm Trees,49,2018-03-23,rap,hip hop,0.772,0.0383,-16.941,0.485,0.685,0.731,0.112,0.961,89.058,64719
Echoes,Dontcry,58,2018-10-04,rap,hip hop,0.667,0.242,-17.799,0.066,0.497,0.638,0.11,0.456,80.116,72000
Bak Pak,Lunchmoney,49,2018-07-03,rap,hip hop,0.711,0.387,-14.536,0.231,0.937,0.842,0.116,0.598,79.027,85063
Cocktails,Syndrome,57,2018-08-10,rap,hip hop,0.72,0.192,-15.78,0.038,0.927,0.96,0.082,0.631,145.911,101956
Beginnings,Knowmadic,50,2018-01-02,rap,hip hop,0.612,0.183,-15.316,0.113,0.788,0.599,0.108,0.519,69.987,73777
Lavender,Casiio,49,2019-01-18,rap,hip hop,0.489,0.349,-13.78,0.101,0.855,0.873,0.126,0.188,78.419,69397
Summertime,Musqitone,56,2019-04-26,rap,hip hop,0.775,0.396,-11.987,0.0886,0.381,0.908,0.113,0.63,140.05,113250
Not the Same,twuan,48,2018-08-28,rap,hip hop,0.76,0.19,-21.736,0.393,0.963,0.738,0.112,0.666,113.012,131681
bedroom,Smeyeul.,5,2018-05-11,rap,hip hop,0.77,0.0161,-14.233,0.162,0.905,0.914,0.113,0.7,75.047,153600
Blue and Green,Harris Cole,32,2018-05-29,rap,hip hop,0.638,0.0389,-17.75,0.115,0.897,0.849,0.0731,0.48,79.888,174000
With Tim,Guustavv,53,2019-08-16,rap,hip hop,0.373,0.251,-11.354,0.0755,0.97,0.918,0.147,0.054,211.369,150500
Circles,Snaer.,55,2018-08-20,rap,hip hop,0.492,0.336,-11.989,0.203,0.793,0.91,0.104,0.158,75.278,97266
Analog,leaf beach,50,2018-05-01,rap,hip hop,0.746,0.371,-8.226,0.332,0.432,0.423,0.0954,0.488,174.256,97433
Lakshmana,Made in M,51,2016-11-04,rap,hip hop,0.648,0.217,-14.142,0.252,0.853,0.604,0.107,0.528,85.999,114500
97,Bertholet,48,2018-07-02,rap,hip hop,0.645,0.165,-19.347,0.164,0.223,0.803,0.164,0.843,80.367,121891
balcony view,Leavv,56,2017-12-31,rap,hip hop,0.676,0.202,-12.967,0.196,0.944,0.886,0.104,0.751,75.109,80000
Red Tide,xJK.,47,2018-08-24,rap,hip hop,0.755,0.338,-8.574,0.246,0.792,0.906,0.12,0.43,91.045,148365
Show and Prove,Es-K,4,2018-09-09,rap,hip hop,0.729,0.32,-7.278,0.0338,0.157,0.905,0.111,0.542,92.0,146070
Faintly,Shrimpnose,47,2018-09-06,rap,hip hop,0.756,0.291,-13.78,0.169,0.866,0.895,0.116,0.335,75.156,126875
Cause,Vhsceral,48,2018-08-20,rap,hip hop,0.679,0.45,-10.428,0.16,0.748,0.0589,0.101,0.364,80.075,110071
Flava,Manny,47,2018-08-15,rap,hip hop,0.416,0.423,-15.069,0.248,0.97,0.928,0.206,0.41,76.372,111381
Syrup,Dweeb,6,2018-06-29,rap,hip hop,0.679,0.172,-13.146,0.0441,0.754,0.938,0.107,0.223,86.998,66207
Panacea.,Misc.Inc,53,2018-04-20,rap,hip hop,0.618,0.211,-16.41,0.208,0.876,0.849,0.0887,0.142,83.982,85714
RideOut,enjo,49,2017-08-04,rap,hip hop,0.78,0.327,-8.763,0.136,0.915,0.689,0.112,0.388,82.027,79024
Recollections,jrd.,47,2018-06-02,rap,hip hop,0.799,0.0375,-15.162,0.456,0.891,0.928,0.102,0.615,78.132,147716
Wasted Years,Arvo to me,48,2018-05-08,rap,hip hop,0.809,0.287,-8.89,0.0595,0.476,0.839,0.119,0.651,84.0,171451
viaduct creek,Delayde,49,2018-07-16,rap,hip hop,0.738,0.207,-13.185,0.273,0.537,0.934,0.112,0.661,80.051,84000
Silence,Philanthrope,55,2018-06-21,rap,hip hop,0.651,0.183,-9.388,0.056,0.838,0.925,0.0891,0.687,151.971,105101
Snitchfoot,Karavelo,48,2018-08-15,rap,hip hop,0.644,0.318,-14.637,0.0973,0.786,0.935,0.128,0.297,89.31,167687
Floating,wuf,48,2015-11-04,rap,hip hop,0.694,0.124,-18.156,0.0493,0.594,0.917,0.111,0.856,152.098,88522
Aqua skies,leaf beach,4,2017-12-18,rap,hip hop,0.562,0.377,-14.323,0.427,0.818,0.792,0.116,0.12,72.807,102078
blxt,asbeluxt,47,2017-07-14,rap,hip hop,0.555,0.246,-13.867,0.0539,0.793,0.941,0.117,0.364,84.942,56042
Winter Walks,Lungfulls,47,2018-05-08,rap,hip hop,0.564,0.265,-12.867,0.0673,0.883,0.916,0.121,0.344,83.298,95600
Fuse,Brenky,53,2018-03-16,rap,hip hop,0.667,0.209,-13.383,0.0501,0.922,0.932,0.124,0.664,148.152,84371
Bridges,.Sinh,49,2017-11-26,rap,hip hop,0.644,0.258,-20.552,0.0534,0.589,0.946,0.0807,0.207,166.356,112786
Out West,Sumwun,47,2018-03-12,rap,hip hop,0.717,0.103,-10.601,0.0925,0.587,0.803,0.111,0.39,88.989,86334
Merci,jrd.,54,2018-08-05,rap,hip hop,0.796,0.105,-13.837,0.0761,0.248,0.817,0.108,0.922,160.293,100242
Green Tea,chief.,49,2018-07-06,rap,hip hop,0.582,0.223,-11.915,0.0688,0.766,0.954,0.0658,0.0392,80.093,129000
whereucomefrom.,oofoe,49,2017-03-26,rap,hip hop,0.872,0.207,-14.776,0.425,0.808,0.961,0.114,0.961,77.048,76301
Noairleft,Lostiu.,47,2017-12-13,rap,hip hop,0.604,0.291,-13.967,0.392,0.798,0.889,0.144,0.111,78.066,110769
Loss,Chris Keys,47,2018-07-20,rap,hip hop,0.527,0.187,-11.717,0.307,0.893,0.919,0.1,0.805,170.397,118933
Rest Easy,Cozy Collective,47,2018-07-25,rap,hip hop,0.42,0.0881,-12.717,0.293,0.844,0.214,0.151,0.636,211.644,137195
Crises,organic_kid,47,2018-07-11,rap,hip hop,0.589,0.194,-13.551,0.0974,0.972,0.873,0.0841,0.474,82.123,163500
night time,Chill Children,46,2018-07-28,rap,hip hop,0.723,0.111,-15.101,0.143,0.902,0.857,0.104,0.733,78.986,59600
sunday,Smeyeul.,47,2018-07-01,rap,hip hop,0.683,0.103,-12.762,0.0567,0.9,0.308,0.076,0.197,79.99,96000
4 [bump],[bsd.u],50,2018-07-11,rap,hip hop,0.826,0.391,-10.978,0.498,0.969,0.025,0.114,0.813,79.139,64719
Village,Wun Two,47,2018-05-27,rap,hip hop,0.816,0.216,-13.551,0.652,0.456,0.0901,0.151,0.972,75.972,75789
The Road,Flynn,47,2018-07-17,rap,hip hop,0.497,0.345,-7.666,0.181,0.962,0.944,0.108,0.669,77.695,108000
aural sex,less.people,47,2018-07-16,rap,hip hop,0.596,0.149,-16.955,0.0543,0.955,0.688,0.0868,0.165,98.793,194360
Cereal Keef,7apes,4,2018-05-22,rap,hip hop,0.897,0.386,-8.304,0.093,0.3,0.761,0.101,0.79,89.998,77333
1412,Afluen,47,2018-07-06,rap,hip hop,0.914,0.245,-9.504,0.411,0.303,0.482,0.107,0.648,87.992,109091
Reminisce,Howiewonder,47,2018-07-10,rap,hip hop,0.393,0.266,-15.228,0.0634,0.606,0.926,0.11,0.493,75.523,126340
lay up,Bonnaz,46,2018-05-30,rap,hip hop,0.728,0.318,-12.446,0.0776,0.182,0.951,0.115,0.909,89.748,93000
our little pond,mommy,47,2018-07-03,rap,hip hop,0.665,0.0924,-12.477,0.0612,0.752,0.925,0.113,0.679,77.094,115909
Morning Mist Resort,Saito,54,2018-01-30,rap,hip hop,0.701,0.289,-8.422,0.156,0.609,0.826,0.109,0.779,79.986,120076
Leavin',Brenky,46,2018-06-08,rap,hip hop,0.422,0.394,-7.814,0.0744,0.9,0.954,0.104,0.846,131.103,108492
Cmnd,Dust Collectors,47,2018-06-21,rap,hip hop,0.684,0.361,-7.132,0.15,0.878,0.957,0.108,0.284,85.086,158118
sorry,chief.,9,2017-12-09,rap,hip hop,0.548,0.302,-12.869,0.12,0.752,0.893,0.314,0.546,127.159,77922
Hands Free,Saiko,53,2018-04-13,rap,hip hop,0.741,0.0753,-12.26,0.166,0.243,0.868,0.105,0.308,148.072,156222
yellow chords,jhfly,54,2018-03-23,rap,hip hop,0.561,0.0644,-13.783,0.481,0.197,0.884,0.0932,0.96,130.583,76835
Pillars of Creation,BluntOne,47,2018-03-01,rap,hip hop,0.807,0.265,-7.969,0.279,0.0402,0.93,0.0866,0.617,160.369,96592
Revell,Smoke Trees,52,2017-11-03,rap,hip hop,0.727,0.0874,-19.549,0.074,0.934,0.935,0.101,0.526,80.966,89330
Mohabbat,Kaam Bhaari,53,2019-10-05,rap,hip hop,0.696,0.759,-8.851,0.158,0.0862,0.00062,0.141,0.895,120.034,194000
Chal Bombay,DIVINE,67,2019-10-09,rap,hip hop,0.862,0.619,-6.645,0.318,0.0434,0.0,0.117,0.512,95.036,174000
Dooriyan,Dino James,61,2019-12-06,rap,hip hop,0.613,0.48,-10.079,0.186,0.563,0.0,0.104,0.212,184.006,215217
Lean On (with Emiway Bantai),Celina Sharma,55,2019-09-27,rap,hip hop,0.662,0.716,-7.047,0.0379,0.0107,0.0,0.149,0.385,96.01,169693
Maya,Prabh Deep,49,2019-05-13,rap,hip hop,0.852,0.625,-4.747,0.242,0.39,5.1e-05,0.109,0.641,140.003,274424
Lit Lit,Rahul Dit-O,43,2019-10-30,rap,hip hop,0.805,0.916,-6.168,0.118,0.228,0.000321,0.106,0.623,140.009,227963
Kohinoor,DIVINE,58,2019-09-13,rap,hip hop,0.634,0.884,-6.259,0.334,0.0994,0.0,0.266,0.39,103.973,198857
Wallah,DIVINE,57,2019-10-09,rap,hip hop,0.663,0.69,-4.871,0.266,0.42,0.0,0.11,0.715,129.832,210000
UP-14,Raga,47,2019-05-03,rap,hip hop,0.656,0.562,-10.657,0.529,0.322,0.0,0.2,0.609,85.37,155520
Nas Interlude (Skit),DIVINE,47,2019-10-09,rap,hip hop,0.551,0.697,-6.411,0.308,0.231,0.0,0.253,0.81,89.161,88000
Naachne Ka Shaunq,Raftaar,55,2019-02-12,rap,hip hop,0.789,0.726,-8.811,0.208,0.216,0.0,0.343,0.783,86.701,217846
Chhote Sunn,Loka,46,2018-11-11,rap,hip hop,0.782,0.893,-5.861,0.223,0.0605,0.0,0.216,0.618,148.006,178000
Gandhi Money,DIVINE,58,2019-10-09,rap,hip hop,0.807,0.674,-6.94,0.119,0.0174,6.35e-06,0.061,0.788,94.984,175500
"Tamizhi - From ""Tamizhi""",Hiphop Tamizha,46,2019-09-20,rap,hip hop,0.521,0.9,-6.358,0.0623,0.0187,0.0,0.164,0.416,140.044,294961
Khat,Prabh Deep,44,2019-07-18,rap,hip hop,0.787,0.656,-10.065,0.39,0.357,7.72e-06,0.369,0.444,114.891,246011
Rap Ka Mausam,Raga,46,2019-01-25,rap,hip hop,0.865,0.875,-7.802,0.236,0.386,0.0,0.222,0.393,105.012,150857
Safar,Sikander Kahlon,39,2019-07-21,rap,hip hop,0.751,0.598,-9.836,0.199,0.481,0.0,0.077,0.73,85.934,162647
Haan Bhai,Fotty Seven,44,2019-07-12,rap,hip hop,0.74,0.721,-6.323,0.177,0.762,0.0,0.0922,0.331,119.956,209507
K.O.,Prabh Deep,40,2019-02-13,rap,hip hop,0.483,0.801,-6.181,0.471,0.323,0.0,0.179,0.587,81.884,90703
Karmasutra,Karma,42,2019-03-01,rap,hip hop,0.913,0.763,-5.219,0.222,0.142,0.0,0.115,0.313,140.029,168000
Amar,Prabh Deep,46,2019-06-19,rap,hip hop,0.772,0.664,-7.664,0.321,0.639,2.7e-06,0.11,0.389,96.204,272747
Nenjinile Rebirth,Chris G.,47,2018-11-05,rap,hip hop,0.706,0.913,-3.284,0.139,0.115,0.0,0.256,0.712,149.886,215800
Zeher,Kaam Bhaari,44,2019-03-29,rap,hip hop,0.682,0.851,-6.343,0.317,0.214,0.0,0.363,0.821,89.924,196000
Asli Hip Hop,Ranveer Singh,54,2019-01-24,rap,hip hop,0.667,0.641,-11.009,0.609,0.572,0.0,0.311,0.963,169.968,108827
Wargi Na,Sikander Kahlon,35,2019-05-06,rap,hip hop,0.754,0.721,-5.327,0.123,0.418,0.0,0.155,0.832,95.043,182562
"Class-Sikh Maut, Vol. II",Prabh Deep,45,2018-04-27,rap,hip hop,0.855,0.68,-8.041,0.428,0.0601,0.0,0.0417,0.818,129.842,142163
Vengamavan,Hiphop Tamizha,48,2019-04-03,rap,hip hop,0.559,0.986,-2.669,0.239,0.141,0.000134,0.128,0.253,149.974,217715
Mere Gully Mein (feat. Naezy),DIVINE,51,2015-04-16,rap,hip hop,0.744,0.813,-7.401,0.154,0.000514,0.0,0.0685,0.149,108.056,182934
Emiway-Samajh Mein Aaya Kya?,Emiway Bantai,54,2018-10-10,rap,hip hop,0.784,0.45,-12.473,0.248,0.474,0.0,0.193,0.608,103.01,274892
Sauce,Sez on the Beat,27,2018-12-13,rap,hip hop,0.731,0.654,-6.619,0.0548,0.296,3.47e-06,0.51,0.786,152.918,189804
Apna Time Aayega,Ranveer Singh,64,2019-01-24,rap,hip hop,0.766,0.618,-8.552,0.124,0.0187,0.000115,0.181,0.513,95.054,140463
Semma Weightu,Harihara Sudhan,35,2018-05-09,rap,hip hop,0.813,0.638,-8.12,0.291,0.0492,3.68e-05,0.248,0.622,99.942,298387
City Slums,Raja Kumari,51,2017-10-04,rap,hip hop,0.777,0.796,-3.528,0.182,0.00387,1.24e-05,0.0852,0.768,166.97,227990
Aise Na Dekh Mujhe,Badshah,37,2018-08-17,rap,hip hop,0.831,0.773,-3.657,0.207,0.0826,0.0,0.146,0.78,94.026,176808
Pakki Gal,Pam Sengh,35,2018-11-02,rap,hip hop,0.69,0.651,-4.673,0.164,0.245,0.0,0.19,0.201,98.025,178782
Kaam 25 - Sacred Games,DIVINE,61,2018-06-22,rap,hip hop,0.484,0.948,-4.296,0.451,0.0473,0.0,0.0565,0.686,125.645,149525
Shaktimaan,Seedhe Maut,43,2018-12-28,rap,hip hop,0.818,0.439,-7.316,0.23,0.0561,0.0,0.136,0.407,134.885,185778
My City,M.C. Azad,32,2018-01-07,rap,hip hop,0.687,0.7,-6.966,0.218,0.288,0.0,0.134,0.188,139.855,209189
Kitn King in the North (feat. Byg Byrd),Sikander Kahlon,32,2018-02-02,rap,hip hop,0.765,0.91,-4.129,0.275,0.0566,0.0,0.131,0.55,120.057,209981
Kadak Ban,Emiway Bantai,51,2018-07-27,rap,hip hop,0.675,0.689,-11.481,0.407,0.00898,0.0,0.154,0.789,197.891,134500
Sach Too Much hai,Muhfaad,37,2016-12-02,rap,hip hop,0.548,0.534,-10.493,0.342,0.0898,0.0,0.138,0.192,155.872,224679
My Whole Life,Rob C,30,2017-07-15,rap,hip hop,0.639,0.842,-6.414,0.331,0.433,5.46e-05,0.103,0.761,184.023,208696
Rabb Rakha,BIR,31,2018-12-07,rap,hip hop,0.885,0.58,-10.24,0.225,0.719,8.74e-05,0.12,0.94,93.981,167547
Surviva (feat. Yogi B & Mali),Anirudh Ravichander,44,2017-08-07,rap,hip hop,0.608,0.919,-7.203,0.0758,0.137,0.000276,0.243,0.728,160.029,222027
Azaad Hu Mai,Naezy,13,2017-02-24,rap,hip hop,0.734,0.714,-6.293,0.15,0.2,0.0287,0.318,0.61,169.995,172327
Farak,DIVINE,54,2017-02-17,rap,hip hop,0.712,0.692,-4.29,0.274,0.153,0.0,0.205,0.326,95.025,188348
Rockin' with the Best,KRU172,31,2018-08-25,rap,hip hop,0.885,0.787,-4.946,0.248,0.045,0.0,0.151,0.861,94.996,146526
Sherni,Prabh Deep,27,2018-09-13,rap,hip hop,0.815,0.741,-3.549,0.127,0.0393,0.0,0.0962,0.251,132.055,89973
Veera Thurandhara,Gana Bala,33,2016-06-13,rap,hip hop,0.779,0.492,-6.962,0.307,0.171,0.0,0.0979,0.72,95.041,197210
Asal Hustle,Naezy,44,2016-08-31,rap,hip hop,0.618,0.972,-2.678,0.311,0.0394,0.000148,0.394,0.692,175.77,178018
Swag on 100 (feat. Sady Immortal),Sikander Kahlon,30,2018-01-25,rap,hip hop,0.805,0.766,-4.549,0.109,0.13,0.0,0.336,0.562,115.94,185497
Out of Control,Haji Springer,31,2019-01-10,rap,hip hop,0.763,0.803,-3.025,0.231,0.0305,3.52e-05,0.105,0.338,140.141,220288
Mili Raahat,Raga,31,2017-03-02,rap,hip hop,0.72,0.707,-9.996,0.474,0.394,0.0,0.783,0.16,139.885,155402
Roots (feat. Raja Kumari),DIVINE,44,2018-07-27,rap,hip hop,0.94,0.577,-5.838,0.0827,0.00137,0.000335,0.0965,0.0861,126.961,161021
Squad Mera,Splash,30,2018-04-20,rap,hip hop,0.715,0.61,-11.112,0.18,0.0245,0.0,0.36,0.398,135.14,156644
Fake Yeezys,KKG,31,2018-05-26,rap,hip hop,0.818,0.807,-7.55,0.238,0.0208,0.0,0.25,0.571,134.024,259801
Aane De,Naezy,45,2017-11-04,rap,hip hop,0.687,0.932,-3.519,0.286,0.308,0.00192,0.18,0.478,145.169,165328
Suede Gully,Puma,38,2017-12-04,rap,hip hop,0.797,0.736,-5.6,0.147,0.0196,0.0,0.0858,0.562,100.041,193071
Shut Up,KKG,28,2018-08-30,rap,hip hop,0.74,0.728,-5.051,0.265,0.129,0.000395,0.191,0.485,84.989,294843
Jungli Sher,DIVINE,48,2016-03-18,rap,hip hop,0.597,0.748,-5.906,0.223,0.0448,0.0,0.626,0.73,165.907,186943
Anthem for the North East - Extended Version,Feyago,29,2016-12-15,rap,hip hop,0.64,0.492,-12.924,0.366,0.0745,0.0,0.124,0.395,159.664,240080
Aji Mera Ghanta,Muhfaad,35,2016-11-06,rap,hip hop,0.926,0.341,-14.941,0.315,0.202,3.56e-05,0.112,0.473,120.103,172000
Vekhi Ja,Prabh Deep,33,2018-12-27,rap,hip hop,0.811,0.676,-8.323,0.266,0.0226,0.0,0.0668,0.589,89.93,205340
Denzel (feat. Andy Grewal),Sikander Kahlon,29,2018-02-02,rap,hip hop,0.708,0.583,-7.067,0.121,0.27,0.0,0.337,0.817,81.032,220707
With U,SwuM,64,2019-02-21,rap,hip hop,0.414,0.309,-11.858,0.0343,0.863,0.819,0.0923,0.184,90.026,218667
sekao,Delayde,63,2018-05-27,rap,hip hop,0.616,0.375,-16.921,0.0405,0.905,0.896,0.332,0.333,159.972,132000
Aconcagua,Slumberville,59,2019-08-30,rap,hip hop,0.82,0.17,-12.969,0.0971,0.416,0.859,0.0986,0.29,129.993,119077
thinking of you,mommy,64,2018-11-21,rap,hip hop,0.797,0.0832,-12.673,0.203,0.484,0.81,0.239,0.51,160.048,131000
Crossroads,Hanz,59,2018-12-12,rap,hip hop,0.44,0.291,-17.171,0.0473,0.812,0.831,0.898,0.0783,170.085,154000
"memories of her, last winter",Rook1e,53,2019-12-31,rap,hip hop,0.669,0.245,-13.548,0.0438,0.813,0.903,0.0835,0.394,109.488,115135
_away,MARTIN $KY,10,2019-03-16,rap,hip hop,0.634,0.424,-14.347,0.265,0.942,0.727,0.133,0.131,133.52,168589
Now That You're Gone,Kavv,61,2018-12-20,rap,hip hop,0.819,0.289,-9.791,0.417,0.935,0.918,0.101,0.371,85.02,120004
Unfaithful,H E R B,60,2017-11-11,rap,hip hop,0.777,0.213,-15.491,0.16,0.562,0.889,0.185,0.563,141.19,82207
Tokyo,Drevm,52,2019-12-31,rap,hip hop,0.715,0.349,-10.519,0.251,0.732,0.715,0.0725,0.406,85.302,101295
Away with the Fairies,Philanthrope,62,2018-12-10,rap,hip hop,0.886,0.232,-9.919,0.4,0.247,0.906,0.114,0.661,130.015,166154
Careless,Coastal,57,2019-11-16,rap,hip hop,0.618,0.243,-13.537,0.122,0.953,0.902,0.0736,0.321,90.026,160000
distance,Nohidea,57,2019-09-06,rap,hip hop,0.563,0.206,-18.479,0.121,0.753,0.822,0.0841,0.251,158.148,103291
Unthinkable,Idealism,57,2019-12-18,rap,hip hop,0.545,0.227,-15.497,0.033,0.972,0.866,0.105,0.0965,130.121,157406
The Finish Line,Middle School,59,2019-07-01,rap,hip hop,0.516,0.248,-13.078,0.0446,0.773,0.807,0.0987,0.133,89.915,195097
Lost in Flight,SwuM,55,2019-12-06,rap,hip hop,0.685,0.295,-12.472,0.0284,0.909,0.917,0.179,0.0878,103.984,170769
Light Beams,Guustavv,58,2019-02-22,rap,hip hop,0.644,0.548,-7.459,0.0621,0.0926,0.871,0.0708,0.179,129.954,152606
Sometimes,MARTIN $KY,55,2019-01-23,rap,hip hop,0.499,0.223,-14.612,0.202,0.813,0.952,0.143,0.47,68.725,160580
Espoir,Philanthrope,57,2019-10-28,rap,hip hop,0.777,0.101,-11.868,0.202,0.604,0.339,0.0881,0.504,82.924,96779
Testing Tubes,Praizee,61,2019-02-12,rap,hip hop,0.82,0.139,-10.941,0.362,0.637,0.776,0.101,0.658,74.993,148073
Float,SPEECHLESS,57,2019-11-22,rap,hip hop,0.661,0.416,-10.504,0.755,0.97,0.878,0.0856,0.374,78.031,138678
Flor Passionis,Styn,54,2019-07-03,rap,hip hop,0.652,0.197,-20.895,0.061,0.799,0.932,0.108,0.329,80.1,78211
"selfish, Pt. 1",frumhere,59,2019-07-19,rap,hip hop,0.416,0.422,-15.453,0.127,0.829,0.00576,0.109,0.0396,99.319,146000
Tiny Sailboat,Kupla,63,2019-09-02,rap,hip hop,0.607,0.322,-10.949,0.134,0.397,0.878,0.643,0.381,174.086,150882
Fireworks,Nymano,61,2018-10-17,rap,hip hop,0.559,0.31,-10.53,0.373,0.526,0.937,0.147,0.395,188.177,138000
Pizza,Statistix,61,2018-10-24,rap,hip hop,0.842,0.29,-12.099,0.121,0.228,0.904,0.114,0.405,79.985,212079
