joueur,equipe,age,matchs,minutes_par_match,points,rebonds,passes,interceptions,contres,pertes_balle,pct_tir,pct_3pts,pct_lf,plus_minus,double_doubles,pct_victoires
Jared Rhoden,DET,23.0,14,14.1,3.2,2.6,0.3,0.3,0.1,0.2,0.386,0.25,1.0,1.5,0,0.143
Jaren Jackson Jr.,MEM,23.0,63,28.4,18.6,6.8,1.0,1.0,3.0,1.7,0.506,0.355,0.788,5.8,7,0.651
Jarred Vanderbilt,LAL,24.0,78,24.1,7.9,7.5,2.4,1.1,0.3,1.2,0.548,0.322,0.691,-1.3,10,0.551
Jarrett Allen,CLE,25.0,68,32.6,14.3,9.8,1.7,0.8,1.2,1.4,0.644,0.1,0.733,5.1,32,0.647
Jarrett Culver,ATL,24.0,10,13.7,4.4,3.8,0.6,0.6,0.2,0.7,0.395,0.083,0.692,-1.9,0,0.5
Jason Preston,LAC,23.0,14,8.8,2.9,1.6,1.9,0.1,0.0,0.7,0.439,0.278,0.0,-0.8,0,0.286
Javonte Green,CHI,29.0,32,15.0,5.2,2.8,0.7,0.8,0.7,0.6,0.565,0.371,0.667,1.5,0,0.406
Jaxson Hayes,NOP,23.0,47,13.0,5.0,2.8,0.7,0.4,0.4,0.7,0.551,0.103,0.699,-1.5,0,0.468
Jaylen Brown,BOS,26.0,67,35.9,26.6,6.9,3.5,1.1,0.4,2.9,0.491,0.335,0.765,3.8,13,0.687
Jaylen Nowell,MIN,23.0,65,19.3,10.8,2.6,2.0,0.6,0.1,1.0,0.448,0.289,0.778,-0.1,0,0.523
Jaylin Williams,OKC,20.0,49,18.7,5.9,4.9,1.6,0.6,0.2,0.8,0.436,0.407,0.704,-1.8,0,0.469
Jayson Tatum,BOS,25.0,74,36.9,30.1,8.8,4.6,1.1,0.7,2.9,0.466,0.35,0.854,6.4,31,0.703
Jeff Dowtin Jr.,TOR,26.0,25,10.3,2.4,0.9,1.2,0.4,0.1,0.2,0.439,0.313,0.667,-0.4,0,0.68
Jeff Green,DEN,36.0,56,19.5,7.8,2.6,1.2,0.3,0.3,0.8,0.488,0.288,0.744,-3.4,0,0.589
Jerami Grant,POR,29.0,63,35.6,20.5,4.5,2.4,0.8,0.8,1.8,0.475,0.401,0.813,-0.6,2,0.444
Jeremiah Robinson-Earl,OKC,22.0,43,18.9,6.8,4.2,1.0,0.6,0.3,0.4,0.444,0.333,0.833,-0.2,1,0.372
Jeremy Sochan,SAS,20.0,56,26.0,11.0,5.3,2.5,0.8,0.4,1.7,0.453,0.246,0.698,-4.2,2,0.268
Jericho Sims,NYK,24.0,52,15.6,3.4,4.7,0.5,0.3,0.5,0.5,0.776,0.0,0.75,-2.2,2,0.596
Jevon Carter,MIL,27.0,81,22.4,8.0,2.5,2.4,0.8,0.4,1.0,0.423,0.421,0.816,0.8,1,0.704
Jimmy Butler,MIA,33.0,64,33.4,22.9,5.9,5.3,1.8,0.3,1.6,0.539,0.35,0.85,0.7,11,0.547
Jock Landale,PHX,27.0,69,14.2,6.6,4.1,1.0,0.2,0.4,0.9,0.528,0.25,0.752,2.0,3,0.507
Joe Harris,BKN,31.0,74,20.6,7.6,2.2,1.4,0.5,0.2,0.6,0.457,0.426,0.643,-0.3,0,0.541
Joe Ingles,MIL,35.0,46,22.7,6.9,2.8,3.3,0.7,0.1,1.2,0.435,0.409,0.857,1.7,1,0.696
Joel Embiid,PHI,29.0,66,34.6,33.1,10.2,4.2,1.0,1.7,3.4,0.548,0.33,0.857,6.4,39,0.652
John Butler Jr.,POR,20.0,19,11.6,2.4,0.9,0.6,0.4,0.5,0.1,0.321,0.229,0.75,-3.7,0,0.211
John Collins,ATL,25.0,71,30.0,13.1,6.5,1.2,0.6,1.0,1.1,0.508,0.292,0.803,-0.3,11,0.521
John Konchar,MEM,27.0,72,20.7,5.1,4.3,1.4,1.1,0.3,0.5,0.431,0.339,0.778,2.9,2,0.625
John Wall,LAC,32.0,34,22.2,11.4,2.7,5.2,0.8,0.4,2.4,0.407,0.303,0.681,-3.1,1,0.441
Johnny Davis,WAS,21.0,28,15.1,5.8,2.3,1.0,0.4,0.3,0.6,0.386,0.243,0.519,-1.9,0,0.357
Johnny Juzang,UTA,22.0,18,12.9,4.8,2.2,0.4,0.2,0.2,0.2,0.337,0.238,0.5,-4.8,0,0.333
Jonas Valanciunas,NOP,31.0,79,24.9,14.1,10.2,1.8,0.3,0.7,2.0,0.547,0.349,0.826,-0.1,43,0.506
Jonathan Isaac,ORL,25.0,11,11.3,5.0,4.0,0.5,1.3,0.4,0.4,0.415,0.4,0.556,-1.7,0,0.727
Jonathan Kuminga,GSW,20.0,67,20.8,9.9,3.4,1.9,0.6,0.5,1.4,0.525,0.37,0.652,-0.8,1,0.567
Jordan Clarkson,UTA,30.0,61,32.6,20.8,4.0,4.4,0.5,0.2,3.0,0.444,0.338,0.816,0.6,3,0.492
Jordan Goodwin,WAS,24.0,62,17.8,6.6,3.3,2.7,0.9,0.4,0.9,0.448,0.322,0.768,-1.9,0,0.355
Jordan McLaughlin,MIN,27.0,43,15.8,3.7,1.4,3.4,0.7,0.1,0.8,0.421,0.308,0.833,2.0,0,0.512
Jordan Nwora,IND,24.0,62,19.2,8.7,3.7,1.4,0.4,0.2,1.1,0.436,0.408,0.791,-4.1,1,0.581
Jordan Poole,GSW,23.0,82,30.0,20.4,2.7,4.5,0.8,0.3,3.1,0.43,0.336,0.87,-0.1,1,0.537
Jose Alvarado,NOP,25.0,61,21.5,9.0,2.3,3.0,1.1,0.2,1.3,0.411,0.336,0.813,1.7,0,0.492
Josh Christopher,HOU,21.0,64,12.3,5.8,1.1,1.1,0.5,0.2,0.9,0.465,0.236,0.75,-3.5,0,0.25
Josh Giddey,OKC,20.0,76,31.1,16.6,7.9,6.2,0.8,0.4,2.8,0.482,0.325,0.731,-1.4,28,0.447
Josh Green,DAL,22.0,60,25.7,9.1,3.0,1.7,0.7,0.1,1.2,0.537,0.402,0.723,1.3,1,0.45
Josh Hart,NYK,28.0,76,32.3,9.8,7.8,3.8,1.2,0.3,1.5,0.529,0.372,0.75,4.1,10,0.553
Josh Minott,MIN,20.0,15,6.4,3.1,1.7,0.3,0.3,0.4,0.2,0.5,0.333,1.0,1.6,1,0.467
Josh Okogie,PHX,24.0,72,18.8,7.3,3.5,1.5,0.8,0.5,0.9,0.391,0.335,0.724,1.5,2,0.528
Josh Richardson,NOP,29.0,65,23.5,10.1,2.7,2.7,1.1,0.3,1.3,0.431,0.365,0.852,-2.5,1,0.369
Jrue Holiday,MIL,32.0,67,32.6,19.3,5.1,7.4,1.2,0.4,2.9,0.479,0.384,0.859,7.2,16,0.746
Juan Toscano-Anderson,UTA,30.0,52,13.5,3.0,2.4,1.3,0.3,0.2,0.7,0.448,0.186,0.792,-2.8,0,0.365
Juancho Hernangomez,TOR,27.0,42,14.6,2.9,2.9,0.6,0.4,0.1,0.4,0.421,0.254,0.563,0.3,1,0.476
Julian Champagnie,SAS,21.0,17,18.8,9.7,3.5,0.6,0.4,0.3,0.6,0.454,0.402,0.824,-4.4,1,0.412
Julius Randle,NYK,28.0,77,35.5,25.1,10.0,4.1,0.6,0.3,2.8,0.459,0.343,0.757,2.2,40,0.571
Justin Holiday,DAL,34.0,46,15.4,4.5,1.2,0.9,0.4,0.4,0.5,0.377,0.322,0.625,-2.8,0,0.391
Justin Jackson,BOS,28.0,23,4.7,0.9,0.7,0.4,0.2,0.2,0.1,0.259,0.25,0.5,-3.1,0,0.652
Justise Winslow,POR,27.0,29,26.8,6.8,5.0,3.4,1.0,0.4,1.5,0.409,0.311,0.714,-1.3,1,0.517
Jusuf Nurkic,POR,28.0,52,26.8,13.3,9.1,2.9,0.8,0.8,2.3,0.519,0.361,0.661,0.2,18,0.462
KZ Okpala,SAC,24.0,35,7.1,1.3,1.0,0.4,0.2,0.2,0.2,0.421,0.333,0.875,-0.3,0,0.543
Kai Jones,CHA,22.0,46,11.9,3.4,2.7,0.3,0.4,0.7,0.7,0.558,0.211,0.731,-0.7,1,0.283
Karl-Anthony Towns,MIN,27.0,29,33.0,20.8,8.1,4.8,0.7,0.6,3.0,0.495,0.366,0.874,1.3,9,0.517
Kawhi Leonard,LAC,31.0,52,33.6,23.8,6.5,3.9,1.4,0.5,1.7,0.512,0.416,0.871,4.2,4,0.635
Keegan Murray,SAC,22.0,80,29.8,12.2,4.6,1.2,0.8,0.5,0.8,0.453,0.411,0.765,1.2,4,0.588
Keita Bates-Diop,SAS,27.0,67,21.7,9.7,3.7,1.5,0.7,0.3,0.8,0.508,0.394,0.793,-4.0,0,0.269
Keldon Johnson,SAS,23.0,63,32.8,22.0,5.0,2.9,0.7,0.2,2.1,0.452,0.329,0.749,-7.8,5,0.27
Kelly Olynyk,UTA,32.0,68,28.6,12.5,6.2,3.7,0.9,0.5,2.5,0.499,0.394,0.853,0.2,9,0.412
Kelly Oubre Jr.,CHA,27.0,48,32.2,20.3,5.2,1.1,1.4,0.4,1.3,0.431,0.319,0.76,-5.8,3,0.333
Kendrick Nunn,WAS,27.0,70,13.8,7.1,1.6,1.3,0.4,0.1,0.9,0.424,0.354,0.854,-0.8,0,0.429
Kennedy Chandler,MEM,20.0,36,7.8,2.2,1.1,1.6,0.3,0.1,0.5,0.422,0.133,0.462,-1.1,0,0.611
Kenneth Lofton Jr.,MEM,20.0,24,7.3,5.0,2.1,0.8,0.2,0.1,0.5,0.527,0.353,0.593,-2.0,1,0.625
Kenrich Williams,OKC,28.0,53,22.8,8.0,4.9,2.0,0.8,0.3,0.6,0.517,0.373,0.436,1.4,2,0.491
Kentavious Caldwell-Pope,DEN,30.0,76,31.3,10.8,2.7,2.4,1.5,0.5,1.1,0.462,0.423,0.824,6.5,0,0.671
Kenyon Martin Jr.,HOU,22.0,82,28.0,12.7,5.5,1.5,0.5,0.4,1.1,0.569,0.315,0.68,-4.5,5,0.268
Keon Ellis,SAC,23.0,16,4.4,1.5,0.5,0.4,0.3,0.1,0.1,0.438,0.5,0.571,-1.3,0,0.438
Keon Johnson,POR,21.0,40,10.4,4.7,1.1,1.5,0.5,0.2,1.1,0.376,0.346,0.659,-3.8,0,0.325
Kessler Edwards,SAC,22.0,36,10.7,2.8,1.7,0.6,0.4,0.2,0.4,0.387,0.309,0.733,0.1,0,0.472
Kevin Durant,PHX,34.0,47,35.6,29.1,6.7,5.0,0.7,1.4,3.3,0.56,0.404,0.919,5.5,5,0.723
Kevin Huerter,SAC,24.0,75,29.4,15.2,3.3,2.9,1.1,0.3,1.3,0.485,0.402,0.725,3.0,0,0.587
Kevin Knox II,POR,23.0,63,15.1,6.6,2.8,0.5,0.4,0.2,0.8,0.458,0.349,0.767,-3.6,2,0.19
Kevin Love,MIA,34.0,62,20.0,8.2,6.4,1.9,0.3,0.2,1.1,0.389,0.334,0.879,1.8,6,0.565
Kevin Porter Jr.,HOU,23.0,59,34.3,19.2,5.3,5.7,1.4,0.3,3.2,0.442,0.366,0.784,-5.8,9,0.305
Kevon Harris,ORL,25.0,34,13.4,4.1,2.1,0.5,0.5,0.1,0.6,0.439,0.372,0.756,0.0,0,0.353
Kevon Looney,GSW,27.0,82,23.9,7.0,9.3,2.5,0.6,0.6,0.5,0.63,0.0,0.606,1.9,14,0.537
Khem Birch,SAS,30.0,20,8.1,2.2,1.3,0.4,0.3,0.3,0.4,0.594,0.5,0.8,0.3,0,0.45
Khris Middleton,MIL,31.0,33,24.3,15.1,4.2,4.9,0.7,0.2,2.2,0.436,0.315,0.902,4.0,4,0.758
Killian Hayes,DET,21.0,76,28.3,10.3,2.9,6.2,1.4,0.4,2.3,0.377,0.28,0.821,-6.6,6,0.211
Kira Lewis Jr.,NOP,22.0,25,9.4,4.6,1.3,0.9,0.4,0.1,0.4,0.455,0.441,0.864,2.5,0,0.44
Klay Thompson,GSW,33.0,69,33.0,21.9,4.1,2.4,0.7,0.4,1.8,0.436,0.412,0.879,2.4,2,0.551
Kris Dunn,UTA,29.0,22,25.8,13.2,4.5,5.6,1.1,0.5,1.6,0.537,0.472,0.774,-2.8,3,0.364
Kristaps Porzingis,WAS,27.0,65,32.6,23.2,8.4,2.7,0.9,1.5,2.1,0.498,0.385,0.851,1.2,20,0.415
Kyle Anderson,MIN,29.0,69,28.4,9.4,5.3,4.9,1.1,0.9,1.5,0.509,0.41,0.735,1.3,10,0.522
Kyle Kuzma,WAS,27.0,64,35.0,21.2,7.2,3.7,0.6,0.5,3.0,0.448,0.333,0.73,0.2,14,0.453
Kyle Lowry,MIA,37.0,55,31.2,11.2,4.1,5.1,1.0,0.4,1.9,0.404,0.345,0.859,1.0,2,0.545
Kyrie Irving,DAL,31.0,60,37.3,27.1,5.1,5.5,1.1,0.8,2.1,0.494,0.379,0.905,3.7,5,0.533
LaMelo Ball,CHA,21.0,36,35.2,23.3,6.4,8.4,1.3,0.3,3.6,0.411,0.376,0.843,-4.2,17,0.361
Lamar Stevens,CLE,25.0,62,18.1,5.3,3.3,0.5,0.4,0.3,0.4,0.448,0.316,0.702,0.1,1,0.629
Landry Shamet,PHX,26.0,40,20.2,8.7,1.7,2.3,0.7,0.1,0.9,0.377,0.377,0.882,1.0,0,0.475
Larry Nance Jr.,NOP,30.0,65,21.2,6.8,5.4,1.8,0.9,0.6,0.6,0.61,0.333,0.696,2.8,3,0.523
Lauri Markkanen,UTA,26.0,66,34.4,25.6,8.6,1.9,0.6,0.6,1.9,0.499,0.392,0.875,2.5,28,0.485
LeBron James,LAL,38.0,55,35.5,28.9,8.3,6.8,0.9,0.6,3.2,0.5,0.321,0.768,3.9,18,0.545
Leandro Bolmaro,UTA,22.0,14,4.9,0.4,0.5,0.5,0.2,0.1,0.5,0.15,0.0,0.0,0.1,0,0.571
Lindy Waters III,OKC,25.0,41,12.9,5.2,1.8,0.7,0.3,0.3,0.2,0.393,0.358,0.8,3.3,0,0.488
Lonnie Walker IV,LAL,24.0,56,23.2,11.7,1.9,1.1,0.5,0.3,0.8,0.448,0.365,0.858,-3.7,0,0.482
Luguentz Dort,OKC,24.0,74,30.7,13.7,4.6,2.1,1.0,0.3,1.2,0.388,0.33,0.772,0.5,5,0.486
Luka Doncic,DAL,24.0,66,36.2,32.4,8.6,8.0,1.4,0.5,3.6,0.496,0.342,0.742,1.9,36,0.5
Luka Garza,MIN,24.0,28,8.7,6.5,2.3,0.6,0.1,0.1,0.5,0.543,0.359,0.788,0.6,0,0.536
Luke Kennard,MEM,26.0,59,22.3,9.3,2.7,1.5,0.5,0.1,0.8,0.492,0.494,0.949,3.6,0,0.627
Luke Kornet,BOS,27.0,69,11.7,3.8,2.9,0.8,0.2,0.7,0.4,0.665,0.231,0.821,0.9,0,0.652
Malachi Flynn,TOR,25.0,53,13.0,4.6,1.4,1.3,0.4,0.1,0.5,0.36,0.353,0.758,-0.8,0,0.547
Malaki Branham,SAS,20.0,66,23.5,10.2,2.7,1.9,0.5,0.1,1.2,0.44,0.302,0.829,-5.5,0,0.227
Malcolm Brogdon,BOS,30.0,67,26.0,14.9,4.2,3.7,0.7,0.3,1.5,0.484,0.444,0.87,2.7,0,0.687
Malik Beasley,LAL,26.0,81,25.8,12.7,3.5,1.5,0.8,0.1,1.1,0.395,0.357,0.769,-1.1,1,0.556
Malik Monk,SAC,25.0,77,22.3,13.5,2.6,3.9,0.6,0.3,1.9,0.448,0.359,0.889,0.9,0,0.61
Mamadi Diakite,CLE,26.0,22,8.0,2.6,1.4,0.4,0.2,0.4,0.5,0.48,0.333,1.0,-0.4,0,0.682
MarJon Beauchamp,MIL,22.0,52,13.5,5.1,2.2,0.7,0.4,0.1,0.9,0.395,0.331,0.73,-1.9,0,0.654
Marcus Morris Sr.,LAC,33.0,65,28.1,11.2,4.0,1.8,0.6,0.3,0.9,0.426,0.365,0.782,-0.2,2,0.538
Marcus Smart,BOS,29.0,61,32.1,11.5,3.1,6.3,1.5,0.4,2.3,0.415,0.336,0.746,3.9,6,0.705
Mark Williams,CHA,21.0,43,19.3,9.0,7.1,0.4,0.7,1.0,0.9,0.637,0.0,0.691,-1.8,11,0.419
Markelle Fultz,ORL,25.0,60,29.6,14.0,3.9,5.7,1.5,0.4,2.3,0.514,0.31,0.783,-2.2,3,0.483
Markieff Morris,DAL,33.0,35,10.1,3.8,2.0,0.9,0.3,0.1,0.5,0.409,0.394,1.0,0.3,1,0.486
Marvin Bagley III,DET,24.0,42,23.6,12.0,6.4,0.9,0.5,0.7,1.1,0.529,0.288,0.75,-5.5,8,0.167
Mason Plumlee,LAC,33.0,79,26.0,10.8,8.9,3.1,0.6,0.6,1.5,0.68,0.0,0.636,-3.4,23,0.354
Matisse Thybulle,POR,26.0,71,16.9,4.1,2.0,0.7,1.2,0.5,0.3,0.435,0.365,0.679,-0.2,0,0.535
Matt Ryan,MIN,26.0,34,9.1,3.6,0.8,0.5,0.1,0.0,0.2,0.37,0.381,0.833,0.6,0,0.441
Matthew Dellavedova,SAC,32.0,32,6.6,1.5,0.4,1.3,0.2,0.0,0.3,0.34,0.333,0.571,-1.6,0,0.594
Max Christie,LAL,20.0,41,12.5,3.1,1.8,0.5,0.2,0.2,0.3,0.415,0.419,0.875,-1.9,0,0.463
Max Strus,MIA,27.0,80,28.4,11.5,3.2,2.1,0.5,0.2,0.9,0.41,0.35,0.876,-1.8,2,0.525
Maxi Kleber,DAL,31.0,37,25.1,5.9,3.6,1.4,0.3,0.8,0.7,0.456,0.348,0.711,-1.2,0,0.486
McKinley Wright IV,DAL,24.0,27,12.4,4.2,1.7,2.1,0.3,0.2,0.7,0.469,0.321,0.684,-4.1,0,0.519
Michael Porter Jr.,DEN,24.0,62,29.0,17.4,5.5,1.0,0.6,0.5,1.1,0.487,0.414,0.8,6.7,3,0.661
Mikal Bridges,BKN,26.0,83,35.7,20.1,4.4,3.3,1.1,0.7,1.5,0.468,0.382,0.895,0.4,2,0.506
Mike Conley,MIN,35.0,67,30.3,11.9,2.7,6.7,1.1,0.2,1.5,0.428,0.385,0.834,0.9,6,0.507
Mike Muscala,BOS,31.0,63,15.0,6.1,3.2,0.8,0.2,0.4,0.4,0.449,0.391,0.769,3.2,0,0.508
Miles McBride,NYK,22.0,64,11.9,3.5,0.8,1.1,0.6,0.1,0.4,0.358,0.299,0.667,0.8,0,0.563
Mitchell Robinson,NYK,25.0,59,26.9,7.4,9.4,0.9,0.9,1.8,0.7,0.671,0.0,0.484,3.1,13,0.593
Mo Bamba,LAL,25.0,49,15.7,6.6,4.6,0.9,0.3,0.9,0.6,0.485,0.387,0.661,0.2,2,0.51
Monte Morris,WAS,27.0,62,27.4,10.3,3.4,5.3,0.7,0.2,1.0,0.48,0.382,0.831,0.1,2,0.452
Montrezl Harrell,PHI,29.0,57,11.9,5.6,2.8,0.6,0.3,0.4,0.6,0.598,0.0,0.693,0.3,1,0.614
Moritz Wagner,ORL,26.0,57,19.5,10.5,4.5,1.5,0.6,0.2,1.2,0.5,0.313,0.841,-0.5,3,0.474
Moses Brown,BKN,23.0,36,8.2,4.3,3.9,0.1,0.1,0.4,0.4,0.635,0.0,0.458,0.8,3,0.472
Moses Moody,GSW,21.0,63,13.0,4.8,1.7,0.8,0.3,0.1,0.5,0.476,0.363,0.698,-0.1,0,0.587
Moussa Diabate,LAC,21.0,22,8.9,2.7,2.3,0.2,0.3,0.4,0.4,0.511,0.5,0.625,-1.0,0,0.455
Myles Turner,IND,27.0,62,29.4,18.0,7.5,1.4,0.6,2.3,1.7,0.548,0.373,0.783,-0.8,18,0.468
Naji Marshall,NOP,25.0,77,23.3,9.1,3.6,2.5,0.7,0.2,1.3,0.433,0.303,0.789,0.1,0,0.519
Nassir Little,POR,23.0,54,18.1,6.6,2.6,0.9,0.4,0.4,0.7,0.442,0.367,0.717,-3.5,0,0.407
Nathan Knight,MIN,25.0,38,7.7,3.7,1.5,0.3,0.3,0.2,0.6,0.568,0.364,0.684,-0.2,0,0.5
Naz Reid,MIN,23.0,68,18.4,11.5,4.9,1.1,0.6,0.8,1.4,0.537,0.346,0.677,-1.9,4,0.471
Nerlens Noel,BKN,29.0,17,11.5,2.1,2.7,0.6,0.9,0.6,0.8,0.361,0.5,0.667,-4.4,0,0.235
Nic Claxton,BKN,24.0,76,29.9,12.6,9.2,1.9,0.9,2.5,1.3,0.705,0.0,0.541,1.6,28,0.539
Nick Richards,CHA,25.0,65,18.7,8.2,6.4,0.6,0.2,1.1,0.9,0.629,1.0,0.749,-1.7,14,0.323
Nickeil Alexander-Walker,MIN,24.0,59,15.0,6.2,1.7,1.8,0.5,0.4,0.9,0.444,0.384,0.667,-0.9,0,0.492
Nicolas Batum,LAC,34.0,78,21.9,6.1,3.8,1.6,0.7,0.6,0.6,0.42,0.391,0.708,2.1,0,0.564
Nikola Jokic,DEN,28.0,69,33.7,24.5,11.8,9.8,1.3,0.7,3.6,0.632,0.383,0.822,9.3,58,0.696
Nikola Jovic,MIA,19.0,15,13.6,5.5,2.1,0.7,0.5,0.1,0.7,0.406,0.229,0.947,-1.1,0,0.467
Nikola Vucevic,CHI,32.0,82,33.5,17.6,11.0,3.2,0.7,0.7,1.7,0.52,0.349,0.835,-0.2,51,0.488
Noah Vonleh,BOS,27.0,23,7.5,1.1,2.1,0.3,0.1,0.3,0.5,0.458,0.25,1.0,-0.6,0,0.739
Norman Powell,LAC,30.0,60,26.1,17.0,2.9,1.8,0.8,0.3,1.7,0.479,0.397,0.812,-2.1,0,0.517
O.G. Anunoby,TOR,25.0,67,35.6,16.8,5.0,2.0,1.9,0.7,2.0,0.476,0.387,0.838,2.0,2,0.493
Obi Toppin,NYK,25.0,67,15.7,7.4,2.8,1.0,0.3,0.2,0.6,0.446,0.344,0.809,0.9,0,0.552
Ochai Agbaji,UTA,23.0,59,20.5,7.9,2.1,1.1,0.3,0.3,0.7,0.427,0.355,0.812,-0.3,0,0.492
Onyeka Okongwu,ATL,22.0,80,23.1,9.9,7.2,1.0,0.7,1.3,1.0,0.638,0.308,0.781,0.8,12,0.513
Orlando Robinson,MIA,22.0,31,13.7,3.7,4.1,0.8,0.4,0.4,0.5,0.528,0.0,0.71,0.9,0,0.581
Oshae Brissett,IND,24.0,65,16.7,6.1,3.4,0.7,0.5,0.2,0.5,0.386,0.31,0.717,0.3,1,0.415
Ousmane Dieng,OKC,20.0,39,14.6,4.9,2.7,1.2,0.4,0.2,0.7,0.42,0.265,0.652,1.0,0,0.513
P.J. Tucker,PHI,38.0,75,25.6,3.5,3.9,0.8,0.5,0.2,0.6,0.427,0.393,0.826,1.8,0,0.64
P.J. Washington,CHA,24.0,73,32.6,15.7,4.9,2.4,0.9,1.1,1.5,0.444,0.348,0.73,-5.1,3,0.329
PJ Dozier,SAC,26.0,16,5.0,1.4,0.9,0.6,0.4,0.1,0.3,0.303,0.125,0.0,-1.4,0,0.688
Paolo Banchero,ORL,20.0,72,33.7,20.0,6.9,3.7,0.8,0.5,2.8,0.427,0.298,0.738,-3.0,14,0.431
Pascal Siakam,TOR,29.0,71,37.4,24.2,7.8,5.8,0.9,0.5,2.4,0.48,0.324,0.774,1.7,24,0.493
Pat Connaughton,MIL,30.0,61,23.7,7.6,4.6,1.3,0.6,0.2,0.5,0.392,0.339,0.659,2.2,2,0.705
Patrick Baldwin Jr.,GSW,20.0,31,7.3,3.9,1.3,0.4,0.2,0.1,0.4,0.394,0.381,0.667,-1.6,0,0.484
Patrick Beverley,CHI,34.0,67,27.1,6.2,3.7,2.9,0.9,0.6,0.9,0.4,0.335,0.723,-1.2,2,0.507
Patrick Williams,CHI,21.0,82,28.3,10.2,4.0,1.2,0.9,0.9,1.2,0.464,0.415,0.857,-1.7,1,0.488
Patty Mills,BKN,34.0,40,14.2,6.2,1.1,1.4,0.4,0.1,0.8,0.411,0.366,0.833,-1.7,0,0.45
Paul George,LAC,33.0,56,34.6,23.8,6.1,5.1,1.5,0.4,3.1,0.457,0.371,0.871,2.8,8,0.571
Paul Reed,PHI,23.0,69,10.9,4.2,3.8,0.4,0.7,0.7,0.7,0.593,0.167,0.745,-0.2,5,0.638
Payton Pritchard,BOS,25.0,48,13.4,5.6,1.8,1.3,0.3,0.0,0.8,0.412,0.364,0.75,0.3,1,0.667
Peyton Watson,DEN,20.0,23,8.1,3.3,1.6,0.5,0.1,0.5,0.3,0.492,0.429,0.55,-2.0,0,0.565
Precious Achiuwa,TOR,23.0,55,20.7,9.2,6.0,0.9,0.6,0.5,1.1,0.485,0.269,0.702,-0.7,10,0.545
Quentin Grimes,NYK,23.0,71,29.9,11.3,3.2,2.1,0.7,0.4,1.0,0.468,0.386,0.796,2.6,0,0.577
R.J. Hampton,DET,22.0,47,15.9,6.4,1.9,1.1,0.6,0.2,0.9,0.43,0.353,0.75,-3.0,0,0.191
RJ Barrett,NYK,22.0,73,33.9,19.6,5.0,2.8,0.4,0.2,2.2,0.434,0.31,0.74,-0.8,3,0.548
Raul Neto,CLE,31.0,48,10.5,3.3,1.0,1.6,0.4,0.1,0.5,0.518,0.286,0.912,0.2,0,0.646
Reggie Bullock,DAL,32.0,78,30.3,7.2,3.6,1.4,0.7,0.2,0.5,0.409,0.38,0.703,-1.1,1,0.474
Reggie Jackson,DEN,33.0,68,24.4,10.2,2.1,3.4,0.7,0.1,1.7,0.411,0.333,0.91,-1.2,1,0.529
Richaun Holmes,SAC,29.0,42,8.3,3.1,1.9,0.2,0.1,0.3,0.3,0.618,0.625,0.789,-1.6,1,0.524
Ricky Rubio,CLE,32.0,33,17.2,5.2,2.1,3.5,0.8,0.2,0.9,0.343,0.256,0.8,1.4,0,0.697
Robert Covington,LAC,32.0,48,16.2,6.0,3.5,1.2,0.8,0.7,0.7,0.445,0.397,0.75,-0.1,0,0.417
Robert Williams III,BOS,25.0,35,23.5,8.0,8.3,1.4,0.6,1.4,1.0,0.747,0.0,0.61,4.9,6,0.686
Robin Lopez,CLE,35.0,37,8.1,3.0,1.4,0.5,0.1,0.2,0.7,0.64,0.5,0.778,-1.6,0,0.676
Rodney McGruder,DET,31.0,32,16.4,5.7,2.3,0.9,0.5,0.0,0.3,0.408,0.423,0.818,-1.4,0,0.125
Romeo Langford,SAS,23.0,43,19.6,6.9,2.7,1.2,0.6,0.3,0.7,0.467,0.262,0.696,-4.2,0,0.326
Royce O'Neale,BKN,30.0,76,31.7,8.8,5.1,3.7,0.9,0.6,1.5,0.386,0.389,0.725,1.0,4,0.553
Rudy Gay,UTA,36.0,56,14.6,5.2,2.9,1.0,0.3,0.3,0.7,0.378,0.252,0.857,1.0,0,0.518
Rudy Gobert,MIN,30.0,70,30.7,13.4,11.6,1.2,0.8,1.4,1.7,0.659,0.0,0.644,-0.1,35,0.486
Rui Hachimura,LAL,25.0,63,23.3,11.2,4.5,0.9,0.3,0.4,0.8,0.486,0.319,0.739,-0.4,2,0.603
Russell Westbrook,LAC,34.0,73,29.1,15.9,5.8,7.5,1.0,0.5,3.5,0.436,0.311,0.656,-0.3,24,0.493
Ryan Arcidiacono,POR,29.0,20,8.6,1.3,0.8,1.2,0.3,0.0,0.4,0.243,0.348,0.0,-2.0,0,0.45
Ryan Rollins,GSW,20.0,12,5.2,1.9,1.0,0.5,0.1,0.1,1.3,0.35,0.333,1.0,-3.9,0,0.417
Saben Lee,PHX,23.0,25,14.9,6.0,1.8,2.7,0.8,0.0,1.0,0.405,0.367,0.737,-1.2,1,0.6
Saddiq Bey,ATL,24.0,77,27.6,13.8,4.7,1.5,0.9,0.2,0.9,0.422,0.361,0.861,-1.9,4,0.312
Sam Hauser,BOS,25.0,80,16.1,6.4,2.6,0.9,0.4,0.3,0.4,0.455,0.418,0.706,2.7,0,0.688
Sandro Mamukelashvili,SAS,24.0,43,15.3,6.1,4.3,1.4,0.3,0.3,0.8,0.422,0.303,0.684,-2.7,2,0.535
